Document Number	Alternate Numbering	Given At	Earliest Date	Latest Date	UUID	Person ID	PERSON + DOC	QUOTE_TRANSCRIPTION	Normalized text	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags	Named by	Scribe	Principal	Witness	Dead	Gender
HCM 104		Hereford	1356-03-28T00:00:00Z		e4a770dd-5993-4dbb-b8aa-ae0423d1e58b	e4a770dd-5993-4dbb-b8aa-ae0423d1e58b	e4a770dd-5993-4dbb-b8aa-ae0423d1e58b;HCM 104	John le Sadeler', then bailiff of the dean and chapter of Hereford	John le Sadeler bailiff	then bailiff of the dean and chapter of Hereford	PERSON				Witness|Agent	Agent				Witness		M
HCM 104		Hereford	1356-03-28T00:00:00Z		0d6e556b-1401-4650-a648-02174572016c	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 104	dean and chapter of Hereford	dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Collective|Clerical	Clerical	Collective					M
HCM 104		Hereford	1356-03-28T00:00:00Z		73312377-e4d9-42fd-ae78-167956b26ea8	4bc23c81-80a3-4102-943f-db9453f2df5c	4bc23c81-80a3-4102-943f-db9453f2df5c;HCM 104	John de M',	John de la More clerk		PERSON	best guess= John de la More; possibly, Molendino?|typescript has just M' (also a Phillip de M'); 1355, p981; Thomas Monyton doc, Hereford; 			Witness					Witness		M
HCM 104		Hereford	1356-03-28T00:00:00Z		a4fd12e7-9339-475b-aa71-f1b2c6b2b369	a4fd12e7-9339-475b-aa71-f1b2c6b2b369	a4fd12e7-9339-475b-aa71-f1b2c6b2b369;HCM 104	Williom de Kyngesshawe	William de Kingscote		PERSON				Witness|Scribe			Scribe		Witness		M
HCM 1049		Bosebury	1314-06-19T00:00:00Z		8f8b14c2-83de-420e-ac2e-09410819dd90	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5;HCM 1049	Richard, bishop of Hereford	Richard de Swinfield	bishop of Hereford	PERSON				Principal|Clerical	Clerical			Principal			M
HCM 1049		Bosebury	1314-06-19T00:00:00Z		1025dfe2-1319-4ad8-a4ce-87c1da177956	d32f70d1-07b8-41da-a100-1967fff70c02	d32f70d1-07b8-41da-a100-1967fff70c02;HCM 1049	John de Kemeseye numerans	John de Kemeseye	treasurer	PERSON				Principal|Clerical|Agent	|Clerical|Agent			Principal			M
HCM 1049		Bosebury	1314-06-19T00:00:00Z		3540e208-0017-4f3e-b493-ce6a271a5685	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 1049	dean and chapter of Hereford	dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 1049		Bosebury	1314-06-19T00:00:00Z		8b3dafe7-f367-4d9e-a65d-edad0dc2d4c7			Bosebur'	Bosbury		PLACE				Given at	Given at						
HCM 1050		Lambeth	1283-10-21T00:00:00Z		447b9888-f053-4709-ad10-9bff7d758df6	1a291df6-197f-417d-a288-09533b0d8ae4	1a291df6-197f-417d-a288-09533b0d8ae4;HCM 1050	J/obhn! ezehbiahop of Canterbury,	John Peckham	archbishop of Canterbury	PERSON	John Pecham, 1279-1292			Principal|Clerical	Clerical			Principal			M
HCM 1050		Lambeth	1283-10-21T00:00:00Z		5b93238e-1fe7-4633-9fc1-f42a8ff34970	5b93238e-1fe7-4633-9fc1-f42a8ff34970	5b93238e-1fe7-4633-9fc1-f42a8ff34970;HCM 1050	executors of the will of Thomas, formerly bishop of Hereford,	executors of Thomas de Cantilupe	formerly bishop of Hereford	PERSON				Collective|Clerical|Principal	Clerical|	Collective		Principal			M
HCM 1050		Lambeth	1283-10-21T00:00:00Z		8bfd4183-ae75-45a5-a469-ed6276915d4b	8bfd4183-ae75-45a5-a469-ed6276915d4b	8bfd4183-ae75-45a5-a469-ed6276915d4b;HCM 1050	Thomas, formerly bishop of Hereford	Thomas de Cantilupe		PERSON				Dead|Clerical	Clerical					Dead	M
HCM 1050		Lambeth	1283-10-21T00:00:00Z		113b7df9-9658-4cf6-8967-4df7223a0ad2	113b7df9-9658-4cf6-8967-4df7223a0ad2	113b7df9-9658-4cf6-8967-4df7223a0ad2;HCM 1050	Roger Burde, the archbishop's treasurer,	Roger Burde	the archbishop of Canterbury's treasurer	PERSON				Principal|Agent|Clerical	Agent|Clerical			Principal			M
HCM 1050		Lambeth	1283-10-21T00:00:00Z		3019bd14-950a-42e8-acd4-f77153a37e57	3019bd14-950a-42e8-acd4-f77153a37e57	3019bd14-950a-42e8-acd4-f77153a37e57;HCM 1050	— de Sevenak',	Roger de Seuenak magister		PERSON				Clerical|Agent	Clerical|Agent						M
HCM 1050		Lambeth	1283-10-21T00:00:00Z		e672d690-ce99-478c-92e8-c5d5e22911bf			Lambethe,	Lambeth		PLACE				Given at	Given at						
HCM 1050a			1284-11-26T18:09:24Z	1284-11-30T00:00:00Z	84d9b177-fe3c-4a3f-b010-12612901a825	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5;HCM 1050a	Richard Swinfiel: bishop of Hereford	Richard de Swinfield		PERSON				Principal|Clerical	Clerical			Principal			M
HCM 1051	RBLR 2801, HCM 1051	London	1328-03-05T00:00:00Z		ce859ac7-0532-43e2-9359-1f495b0beefb	ce859ac7-0532-43e2-9359-1f495b0beefb	ce859ac7-0532-43e2-9359-1f495b0beefb;HCM 1051	Adam, bishop of Hereford	Adam de Orleton	bishop of Hereford	PERSON				Principal|Clerical|Agent|Adjudicator	|Clerical|Agent|Adjudicator			Principal			M
HCM 1051		London	1328-03-05T00:00:00Z		01321155-36a0-4b28-b716-0777787c90c3	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5;HCM 1051	Richard, formerly bishop of Hereford	Richard de Swinfield		PERSON				Dead|Clerical	Clerical					Dead	M
HCM 1051		London	1328-03-05T00:00:00Z		42b9731b-4c8f-467f-9b10-526d61ae1d16	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c;HCM 1051	executors	executors of Richard de Swinfield		PERSON				Principal|Collective|Clerical	Clerical	Collective		Principal			M
HCM 1051		London	1328-03-05T00:00:00Z		8c0a8469-c649-4985-947b-e6bc21844f83	8c0a8469-c649-4985-947b-e6bc21844f83	8c0a8469-c649-4985-947b-e6bc21844f83;HCM 1051	Sonn de le Felde	John de la Felde	canon of Hereford; executor of Swinfield	PERSON	canon from 1316 (HRS calls him John de la Fowe)			Principal|Clerical|Agent	|Clerical|Agent			Principal			M
HCM 1051		London	1328-03-05T00:00:00Z		724d1018-4ff9-463e-a762-59080c540d53	724d1018-4ff9-463e-a762-59080c540d53	724d1018-4ff9-463e-a762-59080c540d53;HCM 1051	Roger de Breintone, canons ° church of Hereford	Roger de Breynton	canon of Hereford; executor of Swinfield	PERSON				Principal|Agent|Clerical	Agent|Clerical			Principal			M
