source	source_id	relation	target	target_id
bailiffs	24fe6c58-b461-4146-8fd0-9fc09dce85e3	Job	Henry de Orleton	e18080e2-1ebe-46f0-8f6a-592557f4d6e6
bailiffs	24fe6c58-b461-4146-8fd0-9fc09dce85e3	Job	Phillip le Werror	6e172999-48d7-4ceb-81f7-fc2a890609d1
vicar	ebe7a3d2-1f3d-4a03-9358-aa60bf006815	Job	Roger de Breynton	b11e1177-1246-4a44-a514-f62a1270def7
chaplain	089685cf-8dcd-45eb-9927-03feac1f2c7f	Job	John le Werrur	a82fe856-299e-4fc4-b0c5-5d26e3c7bf17
clerk	49a127dc-990f-4104-b4b4-98d54c8b1574	Job	Roger de Brayntone	50b2665c-6376-4a10-857a-1e9cb2948e4b
bailiff of the dean and chapter of Hereford	8bd1c8f2-dce1-4d6b-aeac-1e484404b160	Job	Roger le Taillur	33ab32f7-96b8-46fb-88e9-8456bccd53ac
tailor	c2189c5f-8cac-4eec-b3aa-63772472ca1a	Job	John de la Barewe	d288b135-60e6-404f-b554-9e31aa159fad
chaplain	8dec5401-ba07-42aa-abd9-1109cbf8381e	Job	John le Monk	2493e729-9dcd-4b94-b7b3-a9114d9d47e7
bailiffs	24fe6c58-b461-4146-8fd0-9fc09dce85e3	Job	Roger Penek	e471862a-359c-45aa-99ae-74acc6ab0647
bailiffs	769de711-c532-4aa0-a110-79fd6f0b3b9e	Job	Richard de Cruce	67111815-f20d-4348-9f7f-84cf3f489f1b
Richard de Cruce	67111815-f20d-4348-9f7f-84cf3f489f1b	Job	Thomas Tope	cfef431b-258e-4455-9076-d3e68ca5cdc6
Richard de Cruce	67111815-f20d-4348-9f7f-84cf3f489f1b	Job	John de la Sale	cf8d8268-6473-48ce-afa1-6dc310e6c7d3
